0,1,2,3,4,5,6,7,8,9
41,9,40,1,0,4,5,0,1,5
42,9,40,1,0,5,9,3,0,37
28,15,40,1,4,5,14,0,1,30
40,15,35,8,4,4,8,0,0,5
69,13,40,1,5,2,14,0,1,5
66,9,40,7,0,0,5,0,1,5
69,3,40,1,10,0,13,0,1,5
55,14,40,7,2,0,14,0,0,5
57,9,40,6,0,5,9,0,1,5
20,10,10,8,15,5,12,0,1,5
33,9,84,1,0,4,5,0,1,5
30,10,40,8,15,5,11,4,1,4
40,13,48,1,5,5,10,4,0,41
38,10,55,1,15,6,13,0,1,5
46,12,38,4,8,4,9,0,1,5
29,13,45,1,5,5,7,0,0,5
57,13,40,6,5,5,9,0,1,5
39,9,42,1,0,5,5,0,1,5
47,13,40,1,5,4,7,0,1,5
26,13,45,1,5,5,7,0,1,5
27,9,50,8,0,5,5,0,1,5
23,13,40,1,5,5,14,0,0,5
34,14,50,1,2,5,14,0,1,5
33,8,42,1,9,4,5,0,1,5
38,14,60,7,2,5,14,0,0,5
57,10,38,1,15,2,9,0,0,5
36,9,70,1,0,5,7,0,1,5
44,13,40,6,5,4,10,0,1,5
49,16,50,4,12,5,7,0,0,5
44,10,60,5,15,5,11,0,1,5
55,10,62,1,15,2,12,0,1,5
45,9,44,1,0,4,12,0,1,5
48,9,40,1,0,4,7,0,0,5
31,13,45,1,5,0,7,0,1,5
55,9,40,7,0,0,14,0,0,5
70,10,40,8,15,0,7,0,1,5
70,14,8,8,2,0,7,0,1,5
73,13,40,1,5,0,14,0,1,5
72,15,28,8,4,0,14,0,1,5
31,9,40,1,0,6,13,0,0,5
28,6,35,1,11,2,9,0,0,5
23,13,40,8,5,5,9,0,1,5
49,5,40,7,7,2,3,0,1,5
27,10,40,7,15,5,1,0,1,5
90,9,40,1,0,5,8,3,1,5
68,9,30,1,0,2,9,0,0,5
65,9,59,1,0,4,9,0,0,30
65,9,10,2,0,2,4,0,0,5
67,13,5,1,5,4,7,0,0,5
66,13,25,7,5,2,14,3,0,5
24,10,24,1,15,5,9,0,1,5
44,10,35,8,15,4,13,0,1,5
35,10,40,1,15,5,9,0,0,5
20,12,18,1,8,5,8,0,0,5
38,9,40,1,0,4,5,0,1,5
39,10,40,1,15,5,8,3,0,5
32,10,40,1,15,5,13,0,0,21
42,4,40,1,1,5,3,3,1,5
63,9,40,2,0,4,4,0,0,5
42,14,60,5,2,4,7,4,1,34
64,7,40,1,3,0,5,0,1,5
28,4,40,1,1,0,3,2,1,39
41,11,84,5,6,0,11,2,1,23
41,4,40,8,1,0,5,0,1,5
58,2,18,8,14,0,2,0,1,5
59,10,40,4,15,0,7,0,1,5
34,9,12,8,0,0,12,0,0,5
45,9,45,1,0,0,2,0,1,5
29,9,40,1,0,0,9,0,0,5
47,6,52,1,11,0,11,0,1,5
40,10,40,1,15,0,13,0,1,5
47,3,50,8,10,0,11,0,1,23
63,13,45,2,5,0,4,0,1,5
41,9,40,8,0,0,3,0,1,5
34,10,40,1,15,0,2,3,1,5
66,13,40,2,5,0,4,0,1,5
65,10,10,8,15,0,7,0,1,5
70,9,40,1,0,0,3,0,1,5
75,15,50,8,4,0,14,0,1,5
65,9,40,4,0,0,9,0,1,5
65,10,40,6,15,0,7,3,1,5
73,10,50,1,15,0,14,0,1,5
60,13,25,2,5,0,4,4,1,4
68,11,40,8,6,0,14,0,1,5
74,9,20,8,0,0,11,0,1,5
43,3,72,1,10,0,13,4,0,35
19,7,55,8,3,0,5,0,1,5
37,9,40,8,0,0,5,0,1,5
45,12,40,6,8,4,9,4,1,41
64,14,60,1,2,0,14,4,1,38
30,9,40,1,0,0,2,0,1,5
51,10,60,8,15,0,14,0,0,30
35,7,40,1,3,0,5,0,1,5
29,9,20,1,0,0,9,0,0,5
34,10,40,1,15,0,9,0,0,5
41,9,60,1,0,0,5,0,1,5
35,10,45,1,15,0,5,0,1,5
26,10,40,1,15,0,9,0,1,5
54,9,50,1,0,0,2,0,1,5
52,9,40,7,0,0,5,0,1,5
50,9,20,8,0,0,12,0,1,5
31,10,40,1,15,0,9,0,1,5
38,9,40,6,0,0,2,0,1,5
30,10,40,1,15,0,5,0,1,5
34,13,40,7,5,0,14,0,1,5
31,10,57,1,15,0,11,0,1,5
52,9,38,1,0,0,13,0,1,5
54,9,40,1,0,0,5,0,1,5
38,9,44,1,0,0,5,0,1,5
39,9,40,1,0,0,13,0,1,5
29,11,40,1,6,0,10,0,1,5
45,9,40,1,0,0,5,0,1,5
34,9,55,1,0,0,2,0,1,5
38,9,40,1,0,0,5,0,1,0
39,6,40,1,11,0,5,0,1,5
61,9,20,1,0,0,5,0,1,5
43,7,40,1,3,0,2,0,1,5
35,10,40,1,15,0,3,0,1,5
46,10,50,1,15,0,11,0,1,5
38,9,40,1,0,0,3,0,1,5
42,9,48,8,0,0,5,0,1,5
34,12,10,1,8,0,10,0,1,5
29,4,40,1,1,0,12,0,1,5
32,7,30,1,3,0,5,0,1,5
60,9,34,1,0,0,1,0,1,5
49,9,40,7,0,0,5,0,1,5
53,9,45,7,0,0,8,0,1,5
56,4,40,1,1,0,3,0,1,5
48,7,40,1,3,0,2,0,1,5
32,13,40,6,5,0,14,4,1,6
42,9,40,8,0,0,5,0,1,5
32,12,42,1,8,0,14,0,1,5
28,12,40,7,8,0,1,0,1,19
26,11,40,1,6,0,5,0,1,5
59,13,50,1,5,0,7,0,1,5
47,13,30,8,5,0,14,0,1,5
26,13,40,2,5,0,4,0,1,5
41,9,60,1,0,0,5,0,1,5
36,9,40,1,0,0,5,0,0,5
45,13,55,1,5,0,11,0,1,5
30,12,40,1,8,0,14,0,1,5
36,9,40,1,0,0,2,0,1,5
34,9,40,5,0,0,7,0,1,5
53,9,40,1,0,0,2,0,1,5
51,9,45,1,0,0,11,0,1,5
47,16,45,8,12,0,2,0,1,5
19,9,40,2,0,5,4,0,1,5
30,9,42,1,0,5,9,0,1,5
20,9,40,1,0,5,8,0,1,5
42,14,60,6,2,4,9,0,1,5
31,7,40,1,3,5,5,0,1,5
33,13,40,1,5,5,3,0,1,5
25,12,30,1,8,5,10,0,0,5
20,9,40,1,0,5,8,0,1,5
23,9,40,1,0,5,9,3,1,5
55,9,40,2,0,6,4,3,0,5
41,10,50,8,15,4,5,0,1,5
54,9,35,8,0,2,5,0,1,5
25,9,50,1,0,5,5,0,1,5
19,10,40,1,15,5,9,0,0,5
24,9,37,1,0,5,9,0,0,5
56,13,65,6,5,5,2,3,1,5
21,10,40,7,15,5,8,0,0,5
34,9,40,1,0,5,13,3,1,5
19,9,40,1,0,5,9,0,1,5
21,10,45,2,15,5,4,0,1,5
48,9,40,1,0,6,9,0,0,5
34,13,40,1,5,5,8,0,1,5
31,9,40,1,0,5,12,0,1,5
36,9,40,1,0,5,8,3,0,5
27,9,40,1,0,5,8,0,1,5
27,10,40,1,15,5,5,4,1,41
35,13,65,1,5,4,11,0,0,5
31,13,60,8,5,3,7,0,1,5
27,9,40,6,0,5,5,3,1,5
28,12,40,7,8,5,9,0,0,5
42,9,46,1,0,4,2,0,1,5
44,10,45,1,15,6,7,0,1,19
41,13,56,1,5,4,11,0,1,5
28,13,35,1,5,5,10,0,0,5
41,9,40,6,0,5,9,0,0,5
35,6,40,1,11,2,8,3,0,5
58,14,45,1,2,4,9,0,0,5
40,9,48,1,0,4,13,0,1,5
31,11,60,1,6,5,2,0,1,5
30,9,40,1,0,5,11,0,0,5
32,10,40,1,15,6,10,1,1,5
25,10,40,1,15,5,9,0,1,5
34,9,40,1,0,5,2,0,1,5
56,10,40,1,15,4,7,0,0,5
45,9,40,1,0,4,8,0,1,5
50,9,40,1,0,5,9,0,1,5
27,6,40,1,11,5,11,0,1,5
51,10,40,1,15,0,11,0,1,5
40,12,60,1,8,0,10,0,1,5
41,14,65,1,2,0,7,0,1,5
49,14,45,1,2,0,7,0,1,5
37,11,40,1,6,0,5,0,1,5
36,13,45,5,5,0,7,0,0,5
35,15,80,1,4,0,14,0,1,5
29,9,25,5,0,0,11,0,0,5
50,13,40,1,5,0,14,0,0,5
46,13,40,1,5,0,11,0,1,5
44,9,45,8,0,0,7,0,1,5
42,14,40,7,2,0,7,0,1,5
38,15,50,6,4,0,14,0,1,5
45,13,55,1,5,0,7,0,1,5
43,14,60,7,2,0,7,0,1,5
47,15,60,5,4,0,14,0,1,5
58,15,50,5,4,0,14,0,1,5
48,15,40,1,4,0,10,0,1,5
42,13,48,7,5,0,7,0,1,5
55,14,50,1,2,0,7,0,1,5
51,6,40,1,11,0,11,0,1,5
32,14,40,1,2,0,7,3,1,5
45,13,50,7,5,0,7,0,1,5
56,14,44,1,2,0,5,0,1,5
38,14,60,1,2,0,7,0,1,5
45,11,50,1,6,0,11,0,1,5
49,14,40,1,2,0,14,0,0,5
36,9,40,1,0,0,14,0,1,5
49,14,40,1,2,0,7,0,1,5
30,16,40,1,12,0,14,4,1,38
42,15,50,5,4,0,14,0,1,5
55,14,40,1,2,0,7,0,1,5
34,13,45,1,5,0,7,0,1,5
54,16,50,1,12,0,14,0,1,5
42,13,70,8,5,0,7,0,1,5
25,13,40,7,5,0,14,0,1,5
55,9,45,5,0,0,7,0,1,5
58,14,50,4,2,0,14,0,1,5
62,9,60,1,0,0,2,0,1,5
43,15,40,5,4,0,14,0,1,5
57,14,40,7,2,0,14,3,0,5
42,16,60,5,12,0,14,0,1,5
63,13,32,8,5,0,14,4,1,38
47,15,50,8,4,0,14,0,1,5
37,13,50,1,5,0,7,0,1,5
40,13,60,1,5,0,11,0,1,5
43,13,50,1,5,0,14,0,1,5
43,15,70,4,4,0,14,0,1,5
41,15,60,8,4,0,14,0,1,5
32,15,60,1,4,0,14,0,1,5
47,13,40,1,5,0,11,0,1,5
39,10,60,6,15,0,3,0,1,5
53,10,40,1,15,0,7,0,1,5
34,13,45,1,5,0,7,0,1,5
36,13,40,1,5,0,7,0,1,5
47,14,41,7,2,0,7,0,1,5
52,11,45,1,6,0,7,0,1,5
40,15,60,8,4,0,14,1,1,5
42,13,40,5,5,0,14,0,1,5
51,14,40,1,2,0,1,0,1,5
55,14,20,1,2,0,10,0,1,5
38,9,99,1,0,0,11,0,1,5
52,10,50,1,15,0,7,0,1,5
60,9,40,6,0,0,10,0,1,5
55,11,50,1,6,0,14,0,1,18
47,14,50,7,2,0,7,3,1,5
46,14,40,1,2,0,10,0,1,5
35,14,45,1,2,0,14,0,1,5
59,13,50,5,5,0,7,0,1,5
57,14,45,1,2,0,14,0,1,5
46,10,50,1,15,0,14,0,1,5
46,14,40,6,2,0,7,0,1,5
52,9,40,1,0,0,5,0,1,5
45,16,30,1,12,0,14,0,0,5
37,13,40,1,5,0,10,0,1,5
46,14,45,1,2,0,7,0,1,5
44,13,50,1,5,0,14,3,1,5
45,11,50,1,6,0,7,0,1,5
43,9,52,1,0,0,13,0,1,5
54,14,40,7,2,0,14,0,1,5
50,14,40,1,2,0,14,0,1,5
51,13,60,1,5,0,7,0,1,35
45,13,40,1,5,0,14,0,1,5
36,14,60,1,2,0,14,0,1,5
27,13,50,1,5,0,7,0,1,5
36,13,35,1,5,0,11,0,1,5
53,14,55,1,2,0,7,0,1,5
51,14,35,7,2,0,14,0,1,5
28,13,24,1,5,0,14,0,0,5
47,10,40,8,15,0,5,0,1,5
45,13,60,1,5,0,7,0,1,5
45,14,35,7,2,0,14,0,0,5
39,15,50,8,4,0,14,0,1,5
39,13,40,1,5,0,7,0,1,5
55,14,40,8,2,0,14,0,1,5
62,10,98,1,15,0,7,0,1,5
49,13,50,1,5,0,11,4,1,4
53,14,40,8,2,0,7,0,1,5
31,14,48,1,2,0,7,0,1,5
42,9,60,5,0,0,7,0,1,22
39,13,45,1,5,0,2,0,1,41
60,13,45,8,5,0,7,0,1,5
26,15,40,1,4,0,14,0,1,5
37,14,40,1,2,0,7,0,1,5
45,13,60,4,5,0,7,0,1,5
37,12,45,1,8,0,11,0,1,5
32,13,45,1,5,0,11,0,1,5
39,9,40,5,0,0,7,0,1,5
58,6,35,8,11,0,5,0,0,35
45,14,43,1,2,0,7,0,1,5
41,13,45,1,5,0,14,0,1,5
36,9,65,8,0,0,12,0,1,5
51,14,60,4,2,0,14,0,1,5
39,10,62,1,15,0,7,0,1,5
56,15,50,8,4,0,14,0,1,5
53,9,40,6,0,0,9,3,1,5
40,11,15,8,6,0,14,0,0,5
57,14,40,1,2,0,7,3,1,5
50,9,35,7,0,0,5,0,1,5
34,15,55,1,4,0,14,0,1,5
35,13,30,1,5,0,7,0,0,5
30,9,15,8,0,0,14,0,1,5
53,14,55,7,2,0,14,0,1,5
31,16,70,4,12,0,14,0,1,5
37,13,60,1,5,0,7,0,1,5
34,13,50,1,5,0,11,0,1,5
36,14,50,1,2,0,14,0,1,5
40,13,50,1,5,0,7,0,1,5
51,10,60,1,15,0,5,0,1,5
33,9,45,1,0,0,11,0,1,5
40,16,20,1,12,0,14,0,0,5
50,4,63,5,1,0,5,0,1,35
46,14,60,5,2,0,11,0,1,5
54,16,50,1,12,0,7,0,1,5
39,14,24,1,2,0,14,0,0,5
54,10,40,5,15,0,11,0,1,5
31,16,99,1,12,0,14,0,1,5
51,14,50,1,2,0,7,0,1,5
55,16,55,1,12,0,14,0,1,35
36,14,40,1,2,0,9,0,1,14
41,13,60,5,5,0,7,4,1,13
56,10,50,8,15,0,7,0,0,5
38,13,40,1,5,0,10,0,1,5
47,9,45,1,0,0,5,0,1,5
39,14,45,7,2,0,14,0,1,5
59,13,50,1,5,0,7,0,1,5
54,16,43,1,12,0,7,0,1,5
54,13,35,8,5,0,7,0,0,5
31,13,55,1,5,0,7,0,1,5
59,10,48,5,15,0,7,0,1,5
46,14,50,1,2,0,14,0,1,5
57,16,40,1,12,0,10,0,1,18
36,14,44,1,2,0,14,0,0,5
44,13,40,1,5,0,13,0,1,5
33,15,50,1,4,0,14,0,1,5
54,10,18,1,15,0,10,0,1,5
55,14,60,1,2,0,7,0,1,5
36,14,50,1,2,0,11,0,1,5
49,15,60,7,4,0,14,0,0,5
41,15,50,1,4,0,14,0,1,5
40,16,45,1,12,0,14,4,1,8
43,13,50,1,5,0,7,0,1,5
39,14,20,7,2,0,14,0,0,5
26,13,40,2,5,0,4,0,0,5
48,15,45,1,4,0,14,0,1,5
43,13,50,1,5,0,7,0,1,5
42,13,60,5,5,0,7,0,1,35
36,13,45,1,5,0,14,0,1,5
39,14,40,1,2,5,7,0,1,5
21,10,40,1,15,5,14,4,1,5
23,10,40,1,15,5,11,0,0,5
47,9,40,1,0,4,7,0,0,5
30,9,40,1,0,5,9,0,0,5
35,10,40,1,15,5,13,0,1,5
26,10,40,1,15,5,9,0,0,5
26,13,55,1,5,5,7,0,1,5
41,14,40,7,2,4,14,0,1,5
30,10,40,7,15,5,1,3,1,5
28,9,40,1,0,6,5,0,1,5
56,9,40,1,0,2,11,0,0,5
35,9,40,1,0,5,13,0,1,5
34,11,40,1,6,5,10,0,0,5
29,9,35,1,0,5,5,0,1,5
23,12,20,1,8,5,9,0,0,5
24,9,40,6,0,5,9,0,0,5
62,10,40,1,15,4,9,0,1,5
77,10,1,8,15,2,9,0,0,5
47,15,60,1,4,0,14,0,0,33
48,16,60,8,12,0,14,0,1,5
42,15,50,8,4,0,14,0,1,5
31,14,40,1,2,0,10,0,1,5
43,13,40,1,5,0,7,0,1,19
50,16,65,1,12,0,14,0,1,5
36,13,50,1,5,0,14,0,1,5
49,14,40,7,2,0,14,0,1,5
38,9,40,1,0,0,5,0,1,5
48,16,46,4,12,0,14,0,0,5
46,13,40,1,5,0,14,0,1,5
56,9,60,8,0,0,8,0,1,5
37,9,45,1,0,0,7,0,1,5
51,9,40,1,0,0,13,3,1,5
43,14,40,1,2,0,7,0,1,5
46,9,40,7,0,0,5,0,1,5
42,14,60,7,2,0,7,0,1,5
45,10,35,1,15,0,9,0,0,5
23,10,40,1,15,0,13,0,1,5
45,13,40,1,5,0,11,0,1,5
30,9,40,4,0,0,9,0,1,5
49,16,60,4,12,0,14,3,1,35
49,12,40,1,8,0,11,0,0,5
57,15,40,1,4,0,5,4,1,41
42,13,80,8,5,0,12,0,1,5
43,10,40,7,15,0,9,0,0,5
43,10,40,1,15,0,7,0,1,5
42,15,60,1,4,0,14,0,1,5
53,13,55,1,5,0,7,0,1,5
40,14,48,7,2,0,14,0,1,5
46,14,40,1,2,0,10,0,1,35
41,13,60,1,5,0,7,0,1,5
49,13,40,1,5,0,5,0,1,5
31,13,50,8,5,0,14,0,1,39
34,14,50,1,2,0,7,0,1,5
40,14,40,6,2,0,10,4,1,41
50,10,38,1,15,0,9,0,0,5
54,9,40,1,0,0,5,4,1,5
49,10,50,1,15,0,9,0,1,5
44,14,60,8,2,0,7,0,0,5
57,13,40,7,5,0,14,0,1,5
28,14,55,7,2,0,14,0,0,5
57,10,40,1,15,0,11,0,1,5
59,13,43,1,5,0,14,0,1,5
38,12,40,1,8,0,7,0,0,5
36,9,60,8,0,0,12,0,1,5
55,10,40,1,15,0,7,0,1,5
34,9,60,8,0,0,11,0,1,5
51,10,50,1,15,0,11,0,1,5
46,9,70,1,0,0,2,0,1,30
33,14,45,1,2,0,7,0,1,18
31,13,35,4,5,0,14,0,0,5
31,13,35,1,5,0,7,0,0,5
59,9,52,8,0,0,7,0,1,5
48,12,40,1,8,0,11,0,1,5
33,13,45,1,5,0,7,0,1,5
46,10,50,1,15,0,5,0,1,5
53,13,40,1,5,0,7,3,1,5
39,14,18,1,2,0,14,0,0,5
44,9,40,8,0,0,14,0,1,5
45,14,50,1,2,0,7,0,1,5
42,13,40,7,5,0,1,0,1,5
24,4,40,8,1,0,2,0,1,5
57,13,40,1,5,0,11,0,1,5
51,13,40,7,5,0,14,0,1,5
50,13,40,1,5,0,7,0,1,5
50,13,50,1,5,0,9,0,1,35
52,14,50,1,2,0,7,0,1,29
46,13,42,5,5,0,11,0,1,35
44,10,40,1,15,0,11,4,1,5
47,13,45,5,5,0,7,0,1,5
36,13,45,1,5,0,11,0,1,5
34,10,38,1,15,0,14,0,1,5
49,13,50,1,5,0,7,0,1,5
45,13,45,1,5,0,11,0,1,5
46,13,50,1,5,0,7,0,1,5
53,13,48,5,5,0,7,0,1,5
63,16,50,4,12,0,7,0,1,5
52,13,40,1,5,0,14,0,1,5
44,13,40,1,5,0,7,3,1,5
37,13,40,1,5,0,11,0,1,5
44,16,40,4,12,0,14,0,1,5
53,13,40,1,5,0,14,0,1,5
32,13,40,1,5,0,10,0,1,5
50,16,45,4,12,0,14,0,1,5
42,14,40,6,2,0,14,4,1,4
50,12,40,1,8,0,5,0,1,5
33,13,55,1,5,0,11,0,1,5
50,14,40,7,2,0,14,0,0,5
32,13,32,1,5,0,14,0,0,5
41,9,40,1,0,0,14,0,1,5
54,9,55,1,0,0,7,0,1,5
34,12,50,1,8,0,11,3,1,5
41,13,55,5,5,0,7,0,1,5
39,15,50,5,4,0,14,0,1,5
42,14,40,6,2,0,14,0,1,5
31,13,45,1,5,0,11,0,1,5
45,11,42,1,6,0,14,0,1,5
41,13,42,1,5,0,10,0,1,5
48,14,38,1,2,0,7,0,0,5
32,9,55,5,0,0,12,0,1,5
41,10,40,1,15,0,13,3,1,5
31,13,40,8,5,0,7,0,0,5
30,10,40,5,15,0,7,4,1,4
41,10,40,1,15,0,7,0,0,5
48,14,40,1,2,0,14,0,1,5
60,16,40,4,12,0,14,0,1,5
38,13,65,8,5,0,7,4,1,5
46,3,40,1,10,0,2,1,1,5
28,10,55,1,15,0,11,0,1,5
64,16,60,5,12,0,7,0,1,5
31,13,20,2,5,0,4,0,0,5
42,14,50,1,2,0,14,0,1,5
43,11,32,1,6,0,10,0,0,5
61,10,35,5,15,0,11,0,1,5
48,16,40,1,12,0,14,4,1,38
46,14,45,7,2,0,7,0,1,5
44,13,50,1,5,0,7,0,1,5
39,10,50,6,15,0,7,0,1,5
46,13,40,8,5,0,11,0,1,5
48,16,50,1,12,0,14,0,1,5
27,7,40,1,3,0,5,0,1,5
22,10,37,6,15,0,11,0,1,5
51,13,40,6,5,0,7,0,1,5
48,10,40,4,15,0,1,0,1,5
52,11,40,1,6,0,5,0,1,5
31,9,40,8,0,0,5,0,1,5
53,13,40,1,5,0,9,0,1,5
51,14,60,1,2,0,14,0,1,5
46,16,52,7,12,0,14,0,0,5
25,10,36,1,15,0,9,3,1,5
46,9,40,1,0,0,5,3,1,5
57,9,30,5,0,0,11,0,1,5
44,13,50,1,5,0,14,0,1,5
42,9,50,1,0,0,2,0,1,5
42,14,40,1,2,0,9,0,1,5
30,13,55,1,5,0,14,0,1,5
54,16,50,4,12,0,7,0,1,5
46,15,45,8,4,0,14,0,1,5
33,13,50,1,5,0,9,0,1,5
38,10,50,1,15,0,7,0,1,5
50,14,45,1,2,0,5,0,1,5
46,7,40,1,3,0,5,0,1,5
41,14,35,8,2,0,11,0,0,5
56,13,65,1,5,0,14,0,1,5
39,13,50,1,5,0,14,0,1,5
46,16,50,8,12,0,14,0,1,5
48,4,40,7,1,0,2,0,1,5
35,16,40,1,12,0,14,4,1,13
56,10,60,1,15,0,5,0,1,5
49,9,60,5,0,0,7,0,1,5
61,15,40,4,4,0,14,0,1,5
43,9,40,1,0,0,5,0,1,5
37,9,50,1,0,0,5,0,1,5
43,13,40,1,5,0,13,0,1,5
41,9,40,1,0,0,11,0,1,5
61,9,40,2,0,0,4,0,1,5
30,13,40,1,5,0,9,0,1,5
58,10,40,1,15,0,1,0,1,5
40,9,40,1,0,0,14,0,1,5
44,14,40,4,2,0,7,0,1,5
40,13,32,1,5,0,7,0,1,5
58,9,40,1,0,0,5,0,1,5
